3296.65 2376.68 2.33222
3718.12 3726.25 2.02709
3587.37 2699.11 2.81757
2498.05 3941.99 1.88761
3090.02 3202.71 1.49827
2176.05 2187.1 2.59318
3965.69 2939.46 2.35713
2693.7 3963.88 1.7454
2169.99 2049.03 1.81527
2414.78 2618.15 1.84766
3458.07 3168.82 2.73459
3616.77 3882.42 2.78323
2951.65 2631.11 1.80769
3006.3 3193.01 2.90157
4031.76 4099.17 1.85555
5821.62 4759.62 1.01555
4700.09 4146.59 2.93966
4287.84 5802.24 2.63964
5590.73 5541.47 1.21582
5763.31 4375.03 2.95276
4032.37 5994.79 1.13011
4963.45 4254.8 2.80793
5487.23 4171.62 2.99247
5760.51 5838.28 1.6947
5899.02 5322.76 1.43472
4307.61 4149.14 1.62951
5442.27 5928.57 2.47854
6842.73 6715.02 1.26562
7162.91 7991.34 2.04148
7016.77 6804.61 2.12625
7821.17 6774.36 2.47109
7999.87 6613.24 2.86965
7007.44 7360.53 2.95589
7480.55 6921.84 1.05115
6455.19 6526.81 2.27057
1952.29 9936.45 2.46113
1144.73 9516.63 1.52556
465.024 8110.87 1.98051
1643.98 9402.92 2.25205
3333.43 5300.8 1.52988
2335.92 5525.14 2.53006
3683.16 5583.09 2.24205
1743.16 1144.57 1.78048
682.267 710.993 2.63474
1307.19 4214.8 1.89275
7819.76 2072.4 1.25892
4637.81 2688.66 2.65951
1839.63 3483.83 2.69893
5094.23 8562.3 1.7403
2179.64 1030.91 2.78789
